South Carolina,5118425
".Abbeville County, South Carolina",24295
".Aiken County, South Carolina",168808
".Allendale County, South Carolina",8039
".Anderson County, South Carolina",203718
".Bamberg County, South Carolina",13311
".Barnwell County, South Carolina",20589
".Beaufort County, South Carolina",187117
".Berkeley County, South Carolina",229861
".Calhoun County, South Carolina",14119
".Charleston County, South Carolina",408235
".Cherokee County, South Carolina",56216
".Chester County, South Carolina",32294
".Chesterfield County, South Carolina",43273
".Clarendon County, South Carolina",31144
".Colleton County, South Carolina",38604
".Darlington County, South Carolina",62905
".Dillon County, South Carolina",28292
".Dorchester County, South Carolina",161540
".Edgefield County, South Carolina",25657
".Fairfield County, South Carolina",20948
".Florence County, South Carolina",137059
".Georgetown County, South Carolina",63404
".Greenville County, South Carolina",525534
".Greenwood County, South Carolina",69351
".Hampton County, South Carolina",18561
".Horry County, South Carolina",351029
".Jasper County, South Carolina",28791
".Kershaw County, South Carolina",65403
".Lancaster County, South Carolina",96016
".Laurens County, South Carolina",67539
".Lee County, South Carolina",16531
".Lexington County, South Carolina",293991
".McCormick County, South Carolina",9526
".Marion County, South Carolina",29183
".Marlboro County, South Carolina",26667
".Newberry County, South Carolina",37719
".Oconee County, South Carolina",78607
".Orangeburg County, South Carolina",84223
".Pickens County, South Carolina",131404
".Richland County, South Carolina",416147
".Saluda County, South Carolina",18862
".Spartanburg County, South Carolina",327997
".Sumter County, South Carolina",105556
".Union County, South Carolina",27244
".Williamsburg County, South Carolina",31026
".York County, South Carolina",282090